"","NAME","YEAR","TEAM","TIME","DATE","MEETNAME","COURSE"
"1","Watson, Patrick","SR-4","Stevenson","24:13.9","November 23, 2019
","NCAA Division III Cross Country Championships","
E.P. Tom Sawyer Park
Louisville, KY 40203
  "
"2","Watson, Patrick","SR-4","Stevenson","24:24.4","November 16, 2019
","NCAA Division III Mideast Region Cross Country Championships","
Goodman Campus at Lehigh University
Bethlehem, PA 18104
  "
"3","Kulick, Nikita","SR-4","Stevenson","25:38.1","November 16, 2019
","NCAA Division III Mideast Region Cross Country Championships","
Goodman Campus at Lehigh University
Bethlehem, PA 18104
  "
"4","Iddriss, Iddriss","SR-4","Stevenson","26:09.8","November 16, 2019
","NCAA Division III Mideast Region Cross Country Championships","
Goodman Campus at Lehigh University
Bethlehem, PA 18104
  "
"5","Womack, Johnathan","FR-1","Stevenson","27:27.5","November 16, 2019
","NCAA Division III Mideast Region Cross Country Championships","
Goodman Campus at Lehigh University
Bethlehem, PA 18104
  "
"6","Iseman, Samuel","FR-1","Stevenson","27:31.4","November 16, 2019
","NCAA Division III Mideast Region Cross Country Championships","
Goodman Campus at Lehigh University
Bethlehem, PA 18104
  "
"7","Farnsworth, Taylor","SO-2","Stevenson","28:39.3","November 16, 2019
","NCAA Division III Mideast Region Cross Country Championships","
Goodman Campus at Lehigh University
Bethlehem, PA 18104
  "
"8","Chattin, Anders","SO-2","Stevenson","29:04.7","November 16, 2019
","NCAA Division III Mideast Region Cross Country Championships","
Goodman Campus at Lehigh University
Bethlehem, PA 18104
  "
"9","Watson, Patrick","SR-4","Stevenson","24:51.4","November  02, 2019
","2019 Middle Atlantic Conference Cross Country Championships","
Hood College at Utica District Park
Frederick, MD 21701
  "
"10","Kulick, Nikita","SR-4","Stevenson","25:31.3","November  02, 2019
","2019 Middle Atlantic Conference Cross Country Championships","
Hood College at Utica District Park
Frederick, MD 21701
  "
"11","Iddriss, Iddriss","SR-4","Stevenson","25:42.2","November  02, 2019
","2019 Middle Atlantic Conference Cross Country Championships","
Hood College at Utica District Park
Frederick, MD 21701
  "
"12","Iseman, Samuel","FR-1","Stevenson","26:24.8","November  02, 2019
","2019 Middle Atlantic Conference Cross Country Championships","
Hood College at Utica District Park
Frederick, MD 21701
  "
"13","Womack, Johnathan","FR-1","Stevenson","26:59.7","November  02, 2019
","2019 Middle Atlantic Conference Cross Country Championships","
Hood College at Utica District Park
Frederick, MD 21701
  "
"14","Farnsworth, Taylor","SO-2","Stevenson","28:22.4","November  02, 2019
","2019 Middle Atlantic Conference Cross Country Championships","
Hood College at Utica District Park
Frederick, MD 21701
  "
"15","Chattin, Anders","SO-2","Stevenson","28:49.9","November  02, 2019
","2019 Middle Atlantic Conference Cross Country Championships","
Hood College at Utica District Park
Frederick, MD 21701
  "
"16","Smith, Elijah","SO-2","Stevenson","29:52.4","November  02, 2019
","2019 Middle Atlantic Conference Cross Country Championships","
Hood College at Utica District Park
Frederick, MD 21701
  "
"17","Jimenez, Cole","FR-1","Stevenson","31:23.5","November  02, 2019
","2019 Middle Atlantic Conference Cross Country Championships","
Hood College at Utica District Park
Frederick, MD 21701
  "
"18","Panagiotopoulos, Nicholas","FR-1","Stevenson","32:52.2","November  02, 2019
","2019 Middle Atlantic Conference Cross Country Championships","
Hood College at Utica District Park
Frederick, MD 21701
  "
"19","Watson, Patrick","SR-4","Stevenson","24:00.1","October 19, 2019
","Rowan Inter-regional Border Battle","
DREAM Park
400 US-130
Logan Twp, NJ 08028
  "
"20","Kulick, Nikita","SR-4","Stevenson","25:55.0","October 19, 2019
","Rowan Inter-regional Border Battle","
DREAM Park
400 US-130
Logan Twp, NJ 08028
  "
"21","Iddriss, Iddriss","SR-4","Stevenson","26:05.3","October 19, 2019
","Rowan Inter-regional Border Battle","
DREAM Park
400 US-130
Logan Twp, NJ 08028
  "
"22","Iseman, Samuel","FR-1","Stevenson","26:42.1","October 19, 2019
","Rowan Inter-regional Border Battle","
DREAM Park
400 US-130
Logan Twp, NJ 08028
  "
"23","Womack, Johnathan","FR-1","Stevenson","27:09.8","October 19, 2019
","Rowan Inter-regional Border Battle","
DREAM Park
400 US-130
Logan Twp, NJ 08028
  "
"24","Farnsworth, Taylor","SO-2","Stevenson","29:05.2","October 19, 2019
","Rowan Inter-regional Border Battle","
DREAM Park
400 US-130
Logan Twp, NJ 08028
  "
"25","Smith, Elijah","SO-2","Stevenson","29:31.0","October 19, 2019
","Rowan Inter-regional Border Battle","
DREAM Park
400 US-130
Logan Twp, NJ 08028
  "
"26","Chattin, Anders","SO-2","Stevenson","29:57.9","October 19, 2019
","Rowan Inter-regional Border Battle","
DREAM Park
400 US-130
Logan Twp, NJ 08028
  "
"27","Watson, Patrick","SR-4","Stevenson","24:15.3","October  5, 2019
","31st Annual Don Cathcart Invitational","
Winter Place Park, Salisbury, MD
Salisbury, MD 19801
  "
"28","Kulick, Nikita","SR-4","Stevenson","25:39.9","October  5, 2019
","31st Annual Don Cathcart Invitational","
Winter Place Park, Salisbury, MD
Salisbury, MD 19801
  "
"29","Iddriss, Iddriss","SR-4","Stevenson","26:02.1","October  5, 2019
","31st Annual Don Cathcart Invitational","
Winter Place Park, Salisbury, MD
Salisbury, MD 19801
  "
"30","Iseman, Samuel","FR-1","Stevenson","26:48.9","October  5, 2019
","31st Annual Don Cathcart Invitational","
Winter Place Park, Salisbury, MD
Salisbury, MD 19801
  "
"31","Chattin, Anders","SO-2","Stevenson","28:10.4","October  5, 2019
","31st Annual Don Cathcart Invitational","
Winter Place Park, Salisbury, MD
Salisbury, MD 19801
  "
"32","Farnsworth, Taylor","SO-2","Stevenson","28:12.1","October  5, 2019
","31st Annual Don Cathcart Invitational","
Winter Place Park, Salisbury, MD
Salisbury, MD 19801
  "
"33","Womack, Johnathan","FR-1","Stevenson","28:31.0","October  5, 2019
","31st Annual Don Cathcart Invitational","
Winter Place Park, Salisbury, MD
Salisbury, MD 19801
  "
"34","Smith, Elijah","SO-2","Stevenson","29:48.4","October  5, 2019
","31st Annual Don Cathcart Invitational","
Winter Place Park, Salisbury, MD
Salisbury, MD 19801
  "
"35","Panagiotopoulos, Nicholas","FR-1","Stevenson","34:01.5","October  5, 2019
","31st Annual Don Cathcart Invitational","
Winter Place Park, Salisbury, MD
Salisbury, MD 19801
  "
"36","Jimenez, Cole","FR-1","Stevenson","DNS","October  5, 2019
","31st Annual Don Cathcart Invitational","
Winter Place Park, Salisbury, MD
Salisbury, MD 19801
  "
"37","Watson, Patrick","SR-4","Stevenson","25:55.0","September  7, 2019
","Shannon Henretty Invitational","
Stevenson University
Stevenson, MD 21153
  "
"38","Kulick, Nikita","SR-4","Stevenson","27:34.6","September  7, 2019
","Shannon Henretty Invitational","
Stevenson University
Stevenson, MD 21153
  "
"39","Iddriss, Iddriss","SR-4","Stevenson","28:25.5","September  7, 2019
","Shannon Henretty Invitational","
Stevenson University
Stevenson, MD 21153
  "
"40","Womack, Johnathan","FR-1","Stevenson","30:17.9","September  7, 2019
","Shannon Henretty Invitational","
Stevenson University
Stevenson, MD 21153
  "
"41","Farnsworth, Taylor","SO-2","Stevenson","30:19.3","September  7, 2019
","Shannon Henretty Invitational","
Stevenson University
Stevenson, MD 21153
  "
"42","Iseman, Samuel","FR-1","Stevenson","30:42.8","September  7, 2019
","Shannon Henretty Invitational","
Stevenson University
Stevenson, MD 21153
  "
"43","Chattin, Anders","SO-2","Stevenson","30:47.5","September  7, 2019
","Shannon Henretty Invitational","
Stevenson University
Stevenson, MD 21153
  "
"44","Smith, Elijah","SO-2","Stevenson","32:44.2","September  7, 2019
","Shannon Henretty Invitational","
Stevenson University
Stevenson, MD 21153
  "
"45","Wilkinson, Matthew","JR-3","Carleton","24:19.6","November 23, 2019
","NCAA Division III Cross Country Championships","
E.P. Tom Sawyer Park
Louisville, KY 40203
  "
